2015,1,1,阴 /阴,8,6,东北风 ≤3级 /南风 ≤3级
2015,1,2,多云 /多云,12,6,南风 ≤3级 /南风 ≤3级
2015,1,3,多云 /多云,13,7,南风 ≤3级 /南风 ≤3级
2015,1,4,多云 /阴,13,7,东北风 ≤3级 /东南风 ≤3级
2015,1,5,小雨 /小雨,11,3,东南风 ≤3级 /东北风 ≤3级
2015,1,6,小雨 /小雨,6,3,东北风 ≤3级 /东北风 ≤3级
2015,1,7,阴 /小雨,6,2,东北风 ≤3级 /东北风 ≤3级
2015,1,8,小雨 /小雨,5,1,东北风 ≤3级 /东北风 ≤3级
2015,1,9,雨夹雪 /小雪,4,0,东北风 ≤3级 /东北风 ≤3级
2015,1,10,小雨 /小雨,6,3,东北风 ≤3级 /东北风 ≤3级
2015,1,11,阴 /小雨,8,2,东北风 ≤3级 /东北风 ≤3级
2015,1,12,多云 /阴,10,1,东北风 ≤3级 /东北风 ≤3级
2015,1,13,晴 /晴,12,0,东北风 ≤3级 /东北风 ≤3级
2015,1,14,多云 /阴,11,3,东风 ≤3级 /南风 ≤3级
2015,1,15,阴 /小雨,9,4,南风 ≤3级 /东北风 ≤3级
2015,1,16,阴 /阴,8,5,东北风 ≤3级 /东风 ≤3级
2015,1,17,阴 /小雨,10,4,东风 ≤3级 /东北风 ≤3级
2015,1,18,小雨 /小雨,6,2,东北风 ≤3级 /东北风 ≤3级
2015,1,19,阴 /小雨,7,3,东风 ≤3级 /东北风 ≤3级
2015,1,20,阴 /阴,11,2,东北风 ≤3级 /东北风 ≤3级
2015,1,21,晴 /晴,13,1,东北风 ≤3级 /东北风 ≤3级
2015,1,22,晴 /多云,15,7,南风 ≤3级 /南风 ≤3级
2015,1,23,阴 /阴,14,9,南风 ≤3级 /南风 ≤3级
2015,1,24,阴 /小雨,14,11,南风 ≤3级 /东南风 ≤3级
2015,1,25,阴 /小雨,13,9,东北风 ≤3级 /东南风 ≤3级
2015,1,26,阴 /阴,15,10,东南风 ≤3级 /东南风 ≤3级
